provider,hasView,object
http://dp.la/api/contributor/uiuc,,http://imagesearchnew.library.illinois.edu/utils/getthumbnail/collection/tdc/id/2003
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/washington,,
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=79
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=55
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=67
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=532
http://dp.la/api/contributor/indiana,,http://libx.bsu.edu/cgi-bin/thumbnail.exe?CISOROOT=/MidOrHis&CISOPTR=537
