provider,hasView,object
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/342/usaf/342-usaf-49690.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/342/usaf/342-USAF-11139.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/381/381-63.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43620.wmv'}, {'@id': 'http://www.amazon.com/dp/B001NXBZW0'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43608.wmv'}, {'@id': 'http://www.amazon.com/dp/B001OTZPCE'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/342/usaf/342-USAF-11078.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43618.wmv'}, {'@id': 'http://www.amazon.com/dp/B001NXBZVQ'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43611.wmv'}, {'@id': 'http://www.amazon.com/dp/B001OTZPCY'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/mp4', '@id': 'http://media.nara.gov/presidential-libraries/clinton/594557/5861852_1006-1007.m4v'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43678.wmv'}, {'@id': 'http://www.amazon.com/dp/B001QFYJ46'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-LC-48043.wmv         '}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/43676.wmv'}, {'@id': 'http://www.amazon.com/dp/B001OTZPQK'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/mopix/111/lc/111-lc-44722.wmv'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/mp4', '@id': 'http://media.nara.gov/presidential-libraries/clinton/594557/5890801-5842-5843.m4v'}]",
http://dp.la/api/contributor/nara,"[{'format': 'video/x-ms-wmv', '@id': 'http://media.nara.gov/cs/001/30517.wmv'}, {'@id': 'http://www.amazon.com/dp/B000UWE8N8'}]",
